node,type,layer,head,AIE_ct,AIE_ap
L0H5,head,0,5.0,0.027291860431432724,0.2824659049510956
L0H12,head,0,12.0,0.05028790235519409,0.060008518397808075
L0H7,head,0,7.0,0.011534418910741806,0.1550421267747879
L0H9,head,0,9.0,0.018477803096175194,0.046852096915245056
L9H12,head,9,12.0,0.010391862131655216,0.06912527233362198
L2H9,head,2,9.0,0.006131435744464397,0.06268835812807083
L13H6,head,13,6.0,0.008308282122015953,0.039838921278715134
L14H15,head,14,15.0,0.008808683604001999,0.03534991294145584
MLP27,mlp,27,,0.18554560840129852,
MLP22,mlp,22,,0.08241773396730423,
MLP11,mlp,11,,0.03983747214078903,
MLP20,mlp,20,,0.03210469335317612,
MLP19,mlp,19,,0.028977569192647934,
MLP8,mlp,8,,0.011179283261299133,
